
# Surface 0 of 1 surfaces

# Curve title: "x * x + y * y"

# IsoCurve 0, 25 points
# x y z type
-1.0240000e+00 -1.0240000e+00 2.0971520e+00 i
-9.3866667e-01 -1.0240000e+00 1.9296711e+00 i
-8.5333333e-01 -1.0240000e+00 1.7767538e+00 i
-7.6800000e-01 -1.0240000e+00 1.6384000e+00 i
-6.8266667e-01 -1.0240000e+00 1.5146098e+00 i
-5.9733333e-01 -1.0240000e+00 1.4053831e+00 i
-5.1200000e-01 -1.0240000e+00 1.3107200e+00 i
-4.2666667e-01 -1.0240000e+00 1.2306204e+00 i
-3.4133333e-01 -1.0240000e+00 1.1650844e+00 i
-2.5600000e-01 -1.0240000e+00 1.1141120e+00 i
-1.7066667e-01 -1.0240000e+00 1.0777031e+00 i
-8.5333333e-02 -1.0240000e+00 1.0558578e+00 i
0.0000000e+00 -1.0240000e+00 1.0485760e+00 i
8.5333333e-02 -1.0240000e+00 1.0558578e+00 i
1.7066667e-01 -1.0240000e+00 1.0777031e+00 i
2.5600000e-01 -1.0240000e+00 1.1141120e+00 i
3.4133333e-01 -1.0240000e+00 1.1650844e+00 i
4.2666667e-01 -1.0240000e+00 1.2306204e+00 i
5.1200000e-01 -1.0240000e+00 1.3107200e+00 i
5.9733333e-01 -1.0240000e+00 1.4053831e+00 i
6.8266667e-01 -1.0240000e+00 1.5146098e+00 i
7.6800000e-01 -1.0240000e+00 1.6384000e+00 i
8.5333333e-01 -1.0240000e+00 1.7767538e+00 i
9.3866667e-01 -1.0240000e+00 1.9296711e+00 i
1.0240000e+00 -1.0240000e+00 2.0971520e+00 i

# IsoCurve 1, 25 points
# x y z type
-1.0240000e+00 -9.3866667e-01 1.9296711e+00 i
-9.3866667e-01 -9.3866667e-01 1.7621902e+00 i
-8.5333333e-01 -9.3866667e-01 1.6092729e+00 i
-7.6800000e-01 -9.3866667e-01 1.4709191e+00 i
-6.8266667e-01 -9.3866667e-01 1.3471289e+00 i
-5.9733333e-01 -9.3866667e-01 1.2379022e+00 i
-5.1200000e-01 -9.3866667e-01 1.1432391e+00 i
-4.2666667e-01 -9.3866667e-01 1.0631396e+00 i
-3.4133333e-01 -9.3866667e-01 9.9760356e-01 i
-2.5600000e-01 -9.3866667e-01 9.4663111e-01 i
-1.7066667e-01 -9.3866667e-01 9.1022222e-01 i
-8.5333333e-02 -9.3866667e-01 8.8837689e-01 i
0.0000000e+00 -9.3866667e-01 8.8109511e-01 i
8.5333333e-02 -9.3866667e-01 8.8837689e-01 i
1.7066667e-01 -9.3866667e-01 9.1022222e-01 i
2.5600000e-01 -9.3866667e-01 9.4663111e-01 i
3.4133333e-01 -9.3866667e-01 9.9760356e-01 i
4.2666667e-01 -9.3866667e-01 1.0631396e+00 i
5.1200000e-01 -9.3866667e-01 1.1432391e+00 i
5.9733333e-01 -9.3866667e-01 1.2379022e+00 i
6.8266667e-01 -9.3866667e-01 1.3471289e+00 i
7.6800000e-01 -9.3866667e-01 1.4709191e+00 i
8.5333333e-01 -9.3866667e-01 1.6092729e+00 i
9.3866667e-01 -9.3866667e-01 1.7621902e+00 i
1.0240000e+00 -9.3866667e-01 1.9296711e+00 i

# IsoCurve 2, 25 points
# x y z type
-1.0240000e+00 -8.5333333e-01 1.7767538e+00 i
-9.3866667e-01 -8.5333333e-01 1.6092729e+00 i
-8.5333333e-01 -8.5333333e-01 1.4563556e+00 i
-7.6800000e-01 -8.5333333e-01 1.3180018e+00 i
-6.8266667e-01 -8.5333333e-01 1.1942116e+00 i
-5.9733333e-01 -8.5333333e-01 1.0849849e+00 i
-5.1200000e-01 -8.5333333e-01 9.9032178e-01 i
-4.2666667e-01 -8.5333333e-01 9.1022222e-01 i
-3.4133333e-01 -8.5333333e-01 8.4468622e-01 i
-2.5600000e-01 -8.5333333e-01 7.9371378e-01 i
-1.7066667e-01 -8.5333333e-01 7.5730489e-01 i
-8.5333333e-02 -8.5333333e-01 7.3545956e-01 i
0.0000000e+00 -8.5333333e-01 7.2817778e-01 i
8.5333333e-02 -8.5333333e-01 7.3545956e-01 i
1.7066667e-01 -8.5333333e-01 7.5730489e-01 i
2.5600000e-01 -8.5333333e-01 7.9371378e-01 i
3.4133333e-01 -8.5333333e-01 8.4468622e-01 i
4.2666667e-01 -8.5333333e-01 9.1022222e-01 i
5.1200000e-01 -8.5333333e-01 9.9032178e-01 i
5.9733333e-01 -8.5333333e-01 1.0849849e+00 i
6.8266667e-01 -8.5333333e-01 1.1942116e+00 i
7.6800000e-01 -8.5333333e-01 1.3180018e+00 i
8.5333333e-01 -8.5333333e-01 1.4563556e+00 i
9.3866667e-01 -8.5333333e-01 1.6092729e+00 i
1.0240000e+00 -8.5333333e-01 1.7767538e+00 i

# IsoCurve 3, 25 points
# x y z type
-1.0240000e+00 -7.6800000e-01 1.6384000e+00 i
-9.3866667e-01 -7.6800000e-01 1.4709191e+00 i
-8.5333333e-01 -7.6800000e-01 1.3180018e+00 i
-7.6800000e-01 -7.6800000e-01 1.1796480e+00 i
-6.8266667e-01 -7.6800000e-01 1.0558578e+00 i
-5.9733333e-01 -7.6800000e-01 9.4663111e-01 i
-5.1200000e-01 -7.6800000e-01 8.5196800e-01 i
-4.2666667e-01 -7.6800000e-01 7.7186844e-01 i
