
# Surface 0 of 1 surfaces

# Curve title: ""sg3_contourtmp2.dat""

# Contour 0, label:        2
 1.02399 -0.974509  2 
 0.9745 -1.024  2 

-1.024 -0.974499  2 
-0.974499 -1.024  2 

 0.974509  1.02399  2 
 1.02399  0.974509  2 

-0.974509  1.02399  2 
-1.024  0.9745  2 


# Contour 1, label:      1.9
 1.02399 -0.922119  1.9 
 1.00888 -0.938667  1.9 
 0.938659 -1.00889  1.9 
 0.922109 -1.024  1.9 

-1.024 -0.922109  1.9 
-1.00888 -0.938667  1.9 
-0.938667 -1.00888  1.9 
-0.922109 -1.024  1.9 

 0.922119  1.02399  1.9 
 0.938659  1.00889  1.9 
 1.00889  0.938659  1.9 
 1.02399  0.922119  1.9 

-0.922119  1.02399  1.9 
-0.938667  1.00888  1.9 
-1.00889  0.938659  1.9 
-1.024  0.922109  1.9 


# Contour 2, label:      1.8
 1.02399 -0.866315  1.8 
 0.957931 -0.938667  1.8 
 0.938659 -0.957938  1.8 
 0.866305 -1.024  1.8 

-1.024 -0.866305  1.8 
-0.957931 -0.938667  1.8 
-0.938667 -0.957931  1.8 
-0.866305 -1.024  1.8 

 0.866315  1.02399  1.8 
 0.938659  0.957939  1.8 
 0.957939  0.938659  1.8 
 1.02399  0.866315  1.8 

-0.866315  1.02399  1.8 
-0.938667  0.957931  1.8 
-0.957938  0.938659  1.8 
-1.024  0.866305  1.8 


# Contour 3, label:      1.7
 1.02399 -0.806004  1.7 
 0.984893 -0.853334  1.7 
 0.938659 -0.90397  1.7 
 0.903962 -0.938667  1.7 
 0.853326 -0.984899  1.7 
 0.805993 -1.024  1.7 

-1.024 -0.805993  1.7 
-0.984892 -0.853334  1.7 
-0.938667 -0.903962  1.7 
-0.903962 -0.938667  1.7 
-0.853334 -0.984892  1.7 
-0.805993 -1.024  1.7 

 0.806004  1.02399  1.7 
 0.853326  0.9849  1.7 
 0.903971  0.938659  1.7 
 0.938659  0.903971  1.7 
 0.9849  0.853326  1.7 
 1.02399  0.806004  1.7 

-0.806004  1.02399  1.7 
-0.853334  0.984893  1.7 
-0.90397  0.938659  1.7 
-0.938667  0.903962  1.7 
-0.984899  0.853326  1.7 
-1.024  0.805993  1.7 


# Contour 4, label:      1.6
 1.02399 -0.741542  1.6 
 1.00443 -0.768001  1.6 
 0.938659 -0.847623  1.6 
 0.933492 -0.853334  1.6 
 0.853326 -0.933499  1.6 
 0.847614 -0.938667  1.6 
 0.767993 -1.00444  1.6 
 0.741529 -1.024  1.6 

-1.024 -0.741529  1.6 
-1.00443 -0.768001  1.6 
-0.938667 -0.847614  1.6 
-0.933491 -0.853334  1.6 
-0.853334 -0.933491  1.6 
-0.847614 -0.938667  1.6 
-0.768001 -1.00443  1.6 
-0.741529 -1.024  1.6 

 0.741542  1.02399  1.6 
 0.767993  1.00444  1.6 
 0.847623  0.938659  1.6 
 0.853326  0.933499  1.6 
 0.933499  0.853326  1.6 
 0.938659  0.847623  1.6 
 1.00444  0.767993  1.6 
 1.02399  0.741542  1.6 

-0.741542  1.02399  1.6 
-0.768001  1.00443  1.6 
-0.847623  0.938659  1.6 
-0.853334  0.933492  1.6 
-0.933499  0.853326  1.6 
-0.938667  0.847614  1.6 
-1.00444  0.767993  1.6 
-1.024  0.741529  1.6 


# Contour 5, label:      1.5
 1.02399 -0.671267  1.5 
 1.01656 -0.682668  1.5 
 0.953483 -0.768001  1.5 
 0.938659 -0.785945  1.5 
 0.877688 -0.853334  1.5 
 0.853326 -0.877696  1.5 
 0.785936 -0.938667  1.5 
 0.767993 -0.953489  1.5 
 0.68266 -1.01656  1.5 
 0.671252 -1.024  1.5 

-1.024 -0.671252  1.5 
-1.01655 -0.682668  1.5 
-0.953483 -0.768001  1.5 
-0.938667 -0.785936  1.5 
-0.877688 -0.853334  1.5 
-0.853334 -0.877688  1.5 
-0.785936 -0.938667  1.5 
-0.768001 -0.953483  1.5 
-0.682668 -1.01655  1.5 
-0.671252 -1.024  1.5 

 0.671267  1.02399  1.5 
 0.68266  1.01656  1.5 
 0.767993  0.953489  1.5 
 0.785945  0.938659  1.5 
 0.853326  0.877695  1.5 
 0.877695  0.853326  1.5 
 0.938659  0.785945  1.5 
 0.953489  0.767993  1.5 
 1.01656  0.68266  1.5 
 1.02399  0.671267  1.5 

-0.671267  1.02399  1.5 
-0.682668  1.01656  1.5 
-0.768001  0.953483  1.5 
-0.785945  0.938659  1.5 
-0.853334  0.877688  1.5 
-0.877696  0.853326  1.5 
-0.938667  0.785936  1.5 
-0.953489  0.767993  1.5 
-1.01656  0.68266  1.5 
-1.024  0.671252  1.5 


# Contour 6, label:      1.4
 1.02399 -0.592497  1.4 
 1.02126 -0.597335  1.4 
 0.965604 -0.682668  1.4 
 0.938659 -0.719123  1.4 
 0.89909 -0.768001  1.4 
 0.853326 -0.818582  1.4 
 0.818574 -0.853334  1.4 
 0.767993 -0.899097  1.4 
 0.719112 -0.938667  1.4 
 0.68266 -0.96561  1.4 
 0.597327 -1.02126  1.4 
 0.59248 -1.024  1.4 

-1.024 -0.59248  1.4 
-1.02126 -0.597335  1.4 
-0.965604 -0.682668  1.4 
-0.938667 -0.719112  1.4 
-0.89909 -0.768001  1.4 
-0.853334 -0.818574  1.4 
-0.818574 -0.853334  1.4 
-0.768001 -0.89909  1.4 
-0.719112 -0.938667  1.4 
-0.682668 -0.965604  1.4 
-0.597335 -1.02126  1.4 
-0.59248 -1.024  1.4 

 0.592497  1.02399  1.4 
 0.597327  1.02126  1.4 
 0.68266  0.96561  1.4 
 0.719123  0.938659  1.4 
 0.767993  0.899097  1.4 
 0.818582  0.853326  1.4 
 0.853326  0.818582  1.4 
 0.899097  0.767993  1.4 
 0.938659  0.719123  1.4 
 0.96561  0.68266  1.4 
 1.02126  0.597327  1.4 
 1.02399  0.592497  1.4 

-0.592497  1.02399  1.4 
-0.597335  1.02126  1.4 
-0.682668  0.965604  1.4 
-0.719123  0.938659  1.4 
-0.768001  0.89909  1.4 
-0.818582  0.853326  1.4 
-0.853334  0.818574  1.4 
-0.899097  0.767993  1.4 
-0.938667  0.719112  1.4 
-0.96561  0.68266  1.4 
-1.02126  0.597327  1.4 
-1.024  0.59248  1.4 


# Contour 7, label:      1.3
 1.02399 -0.500598  1.3 
 1.01854 -0.512002  1.3 
 0.970305 -0.597335  1.3 
 0.938659 -0.645859  1.3 
 0.912366 -0.682668  1.3 
 0.853326 -0.755599  1.3 
 0.84223 -0.768001  1.3 
 0.767993 -0.842237  1.3 
 0.75559 -0.853334  1.3 
 0.68266 -0.912372  1.3 
 0.645847 -0.938667  1.3 
 0.597327 -0.97031  1.3 
 0.511994 -1.01854  1.3 
 0.500579 -1.024  1.3 

-1.024 -0.500578  1.3 
-1.01854 -0.512002  1.3 
-0.970305 -0.597335  1.3 
-0.938667 -0.645847  1.3 
-0.912366 -0.682668  1.3 
-0.853334 -0.75559  1.3 
-0.842229 -0.768001  1.3 
-0.768001 -0.842229  1.3 
-0.75559 -0.853334  1.3 
-0.682668 -0.912366  1.3 
-0.645847 -0.938667  1.3 
-0.597335 -0.970305  1.3 
-0.512002 -1.01854  1.3 
-0.500578 -1.024  1.3 

 0.500599  1.02399  1.3 
 0.511994  1.01854  1.3 
 0.597327  0.97031  1.3 
 0.645859  0.938659  1.3 
 0.68266  0.912372  1.3 
 0.7556  0.853326  1.3 
 0.767993  0.842237  1.3 
 0.842237  0.767993  1.3 
 0.853326  0.7556  1.3 
 0.912372  0.68266  1.3 
 0.938659  0.645859  1.3 
 0.97031  0.597327  1.3 
 1.01854  0.511994  1.3 
 1.02399  0.500599  1.3 

-0.500598  1.02399  1.3 
-0.512002  1.01854  1.3 
-0.597335  0.970305  1.3 
-0.645859  0.938659  1.3 
-0.682668  0.912366  1.3 
-0.755599  0.853326  1.3 
-0.768001  0.84223  1.3 
-0.842237  0.767993  1.3 
-0.853334  0.75559  1.3 
-0.912372  0.68266  1.3 
-0.938667  0.645847  1.3 
-0.97031  0.597327  1.3 
-1.01854  0.511994  1.3 
-1.024  0.500579  1.3 


# Contour 8, label:      1.2
 1.02399 -0.386819  1.2 
 1.0084 -0.426669  1.2 
 0.967586 -0.512002  1.2 
 0.938659 -0.56318  1.2 
 0.917515 -0.597335  1.2 
 0.856562 -0.682668  1.2 
 0.853326 -0.686666  1.2 
 0.780551 -0.768001  1.2 
 0.767993 -0.780559  1.2 
 0.686656 -0.853334  1.2 
 0.68266 -0.856569  1.2 
 0.597327 -0.91752  1.2 
 0.563166 -0.938667  1.2 
 0.511994 -0.96759  1.2 
 0.426661 -1.0084  1.2 
 0.386795 -1.024  1.2 

-1.024 -0.386795  1.2 
-1.0084 -0.426669  1.2 
-0.967586 -0.512002  1.2 
-0.938667 -0.563166  1.2 
-0.917515 -0.597335  1.2 
-0.856562 -0.682668  1.2 
-0.853334 -0.686656  1.2 
-0.780552 -0.768001  1.2 
-0.768001 -0.780552  1.2 
-0.686656 -0.853334  1.2 
-0.682668 -0.856562  1.2 
-0.597335 -0.917515  1.2 
-0.563166 -0.938667  1.2 
-0.512002 -0.967586  1.2 
-0.426669 -1.0084  1.2 
-0.386795 -1.024  1.2 

 0.386819  1.02399  1.2 
 0.426661  1.0084  1.2 
 0.511994  0.96759  1.2 
 0.56318  0.938659  1.2 
 0.597327  0.91752  1.2 
 0.68266  0.856568  1.2 
 0.686665  0.853326  1.2 
 0.767993  0.780559  1.2 
 0.780559  0.767993  1.2 
 0.853326  0.686665  1.2 
 0.856568  0.68266  1.2 
 0.91752  0.597327  1.2 
 0.938659  0.56318  1.2 
 0.96759  0.511994  1.2 
 1.0084  0.426661  1.2 
 1.02399  0.386819  1.2 

-0.386819  1.02399  1.2 
-0.426669  1.0084  1.2 
-0.512002  0.967586  1.2 
-0.56318  0.938659  1.2 
-0.597335  0.917515  1.2 
-0.682668  0.856562  1.2 
-0.686666  0.853326  1.2 
-0.768001  0.780551  1.2 
-0.780559  0.767993  1.2 
-0.853334  0.686656  1.2 
-0.856569  0.68266  1.2 
-0.91752  0.597327  1.2 
-0.938667  0.563166  1.2 
-0.96759  0.511994  1.2 
-1.0084  0.426661  1.2 
-1.024  0.386795  1.2 


# Contour 9, label:      1.1
 1.02399 -0.222966  1.1 
 1.01681 -0.256003  1.1 
 0.990838 -0.341336  1.1 
 0.957446 -0.426669  1.1 
 0.938659 -0.465951  1.1 
 0.914537 -0.512002  1.1 
 0.861711 -0.597335  1.1 
 0.853326 -0.609074  1.1 
 0.795225 -0.682668  1.1 
 0.767993 -0.713103  1.1 
 0.713094 -0.768001  1.1 
 0.68266 -0.795232  1.1 
 0.609063 -0.853334  1.1 
 0.597327 -0.861717  1.1 
 0.511994 -0.914541  1.1 
 0.465935 -0.938667  1.1 
 0.426661 -0.95745  1.1 
 0.341328 -0.99084  1.1 
 0.255995 -1.01681  1.1 
 0.222923 -1.024  1.1 

-1.024 -0.222922  1.1 
-1.01681 -0.256003  1.1 
-0.990838 -0.341336  1.1 
-0.957446 -0.426669  1.1 
-0.938667 -0.465935  1.1 
-0.914536 -0.512002  1.1 
-0.861711 -0.597335  1.1 
-0.853334 -0.609063  1.1 
-0.795225 -0.682668  1.1 
-0.768001 -0.713094  1.1 
-0.713094 -0.768001  1.1 
-0.682668 -0.795225  1.1 
-0.609063 -0.853334  1.1 
-0.597335 -0.861711  1.1 
-0.512002 -0.914536  1.1 
-0.465935 -0.938667  1.1 
-0.426669 -0.957446  1.1 
-0.341336 -0.990838  1.1 
-0.256003 -1.01681  1.1 
-0.222922 -1.024  1.1 

 0.222967  1.02399  1.1 
 0.255995  1.01681  1.1 
 0.341328  0.990841  1.1 
 0.426661  0.95745  1.1 
 0.465951  0.938659  1.1 
 0.511994  0.914541  1.1 
 0.597327  0.861716  1.1 
 0.609073  0.853326  1.1 
 0.68266  0.795231  1.1 
 0.713103  0.767993  1.1 
 0.767993  0.713103  1.1 
 0.795231  0.68266  1.1 
 0.853326  0.609073  1.1 
 0.861716  0.597327  1.1 
 0.914541  0.511994  1.1 
 0.938659  0.465951  1.1 
 0.95745  0.426661  1.1 
 0.990841  0.341328  1.1 
 1.01681  0.255995  1.1 
 1.02399  0.222967  1.1 

-0.222966  1.02399  1.1 
-0.256003  1.01681  1.1 
-0.341336  0.990838  1.1 
-0.426669  0.957446  1.1 
-0.465951  0.938659  1.1 
-0.512002  0.914537  1.1 
-0.597335  0.861711  1.1 
-0.609074  0.853326  1.1 
-0.682668  0.795225  1.1 
-0.713103  0.767993  1.1 
-0.768001  0.713094  1.1 
-0.795232  0.68266  1.1 
-0.853334  0.609063  1.1 
-0.861717  0.597327  1.1 
-0.914541  0.511994  1.1 
-0.938667  0.465935  1.1 
-0.95745  0.426661  1.1 
-0.99084  0.341328  1.1 
-1.01681  0.255995  1.1 
-1.024  0.222923  1.1 


# Contour 10, label:        1
-0.341336  0.939886  1 
-0.344473  0.938659  1 
-0.426669  0.903432  1 
-0.512002  0.858733  1 
-0.520736  0.853326  1 
-0.597335  0.800915  1 
-0.639036  0.767993  1 
-0.682668  0.729494  1 
-0.729501  0.68266  1 
-0.768001  0.639026  1 
-0.800921  0.597327  1 
-0.853334  0.520723  1 
-0.858738  0.511994  1 
-0.903435  0.426661  1 
-0.938667  0.344452  1 
-0.93989  0.341328  1 
-0.96586  0.255995  1 
-0.98441  0.170662  1 
-0.99554  0.085329  1 
-0.99925 -4e-06  1 
-0.995539 -0.085337  1 
-0.984409 -0.17067  1 
-0.965858 -0.256003  1 
-0.939887 -0.341336  1 
-0.938667 -0.344453  1 
-0.903431 -0.426669  1 
-0.858733 -0.512002  1 
-0.853334 -0.520723  1 
-0.800915 -0.597335  1 
-0.768001 -0.639026  1 
-0.729494 -0.682668  1 
-0.682668 -0.729494  1 
-0.639026 -0.768001  1 
-0.597335 -0.800915  1 
-0.520723 -0.853334  1 
-0.512002 -0.858733  1 
-0.426669 -0.903431  1 
-0.344453 -0.938667  1 
-0.341336 -0.939887  1 
-0.256003 -0.965858  1 
-0.17067 -0.984409  1 
-0.085337 -0.995539  1 
-4e-06 -0.99925  1 
 0.085329 -0.99554  1 
 0.170662 -0.98441  1 
 0.255995 -0.96586  1 
 0.341328 -0.93989  1 
 0.344452 -0.938667  1 
 0.426661 -0.903435  1 
 0.511994 -0.858738  1 
 0.520723 -0.853334  1 
 0.597327 -0.800921  1 
 0.639026 -0.768001  1 
 0.68266 -0.729501  1 
 0.729494 -0.682668  1 
 0.767993 -0.639036  1 
 0.800915 -0.597335  1 
 0.853326 -0.520736  1 
 0.858733 -0.512002  1 
 0.903432 -0.426669  1 
 0.938659 -0.344473  1 
 0.939886 -0.341336  1 
 0.965858 -0.256003  1 
 0.984409 -0.17067  1 
 0.99554 -0.085337  1 
 0.999251 -4e-06  1 
 0.995541  0.085329  1 
 0.984411  0.170662  1 
 0.96586  0.255995  1 
 0.939889  0.341328  1 
 0.938659  0.344472  1 
 0.903435  0.426661  1 
 0.858737  0.511994  1 
 0.853326  0.520735  1 
 0.800921  0.597327  1 
 0.767993  0.639036  1 
 0.729502  0.68266  1 
 0.68266  0.729502  1 
